1,Andrew McGrath,Bombers,1,141
2,Dominic Sheed,Eagles,1,138
3,Jack Bowes,Suns,1,135
3,Jackson Macrae,Bulldogs,1,135
5,Dustin Martin,Tigers,1,131
5,Bailey Smith,Bulldogs,1,131
7,Shannon Hurn,Eagles,1,129
8,Jaidyn Stephenson,Kangaroos,1,128
9,Callum Mills,Swans,1,121
10,Rory Laird,Crows,1,119
11,Jack Graham,Tigers,1,115
11,Lachlan Hunter,Bulldogs,1,115
13,Steven Motlop,Power,1,112
14,Caleb Daniel,Bulldogs,1,111
14,Tim Kelly,Eagles,1,111
14,Zachary Merrett,Bombers,1,111
17,Tom McDonald,Demons,1,110
18,Travis Boak,Power,1,109
19,Errol Gulden,Swans,1,108
19,Oleg Markov,Suns,1,108
21,Josh Dunkley,Bulldogs,1,107
21,Clayton Oliver,Demons,1,107
21,David Swallow,Suns,1,107
24,Tom Mitchell,Hawks,1,106
24,Bailey Williams,Bulldogs,1,106
26,Andrew Brayshaw,Dockers,1,105
26,Jack Lukosius,Suns,1,105
26,Taylor Walker,Crows,1,105
29,Jye Caldwell,Bombers,1,104
29,Jack Newnes,Blues,1,104
31,Tom Barrass,Eagles,1,103
31,Will Day,Hawks,1,103
31,Thomas Liberatore,Bulldogs,1,103
31,Tim Taranto,Giants,1,103
35,Adam Cerra,Dockers,1,102
35,Lachlan Sholl,Crows,1,102
37,Marcus Bontempelli,Bulldogs,1,101
37,Brandan Parfitt,Cats,1,101
37,Harry Perryman,Giants,1,101
40,Jack Billings,Saints,1,100
40,Nick Hind,Bombers,1,100
40,Tim Membrey,Saints,1,100
43,Edward Curnow,Blues,1,99
43,Matthew Flynn,Giants,1,99
43,Adam Saad,Blues,1,99
46,Luke Parker,Swans,1,97
47,Oscar Allen,Eagles,1,96
47,Patrick Dangerfield,Cats,1,96
47,Alex Keath,Bulldogs,1,96
47,Isaac Smith,Cats,1,96
51,Jade Gresham,Saints,1,95
51,Ed Langdon,Demons,1,95
51,Jarryd Lyons,Lions,1,95
51,Daniel Rich,Lions,1,95
51,Sam Walsh,Blues,1,95
51,Jack Ziebell,Kangaroos,1,95
51,Dayne Zorko,Lions,1,95
58,Jayden Short,Tigers,1,94
59,Samuel Collins,Suns,1,93
59,Scott Pendlebury,Magpies,1,93
59,Bailey Scott,Kangaroos,1,93
62,Tom Hickey,Swans,1,92
62,Steven May,Demons,1,92
64,Hunter Clark,Saints,1,91
64,Jack Crisp,Magpies,1,91
64,Sam Docherty,Blues,1,91
64,Blake Hardwick,Hawks,1,91
64,Ben Keays,Crows,1,91
64,Joshua Kelly,Giants,1,91
64,Oliver Wines,Power,1,91
71,Charlie Ballard,Suns,1,90
71,Todd Goldstein,Kangaroos,1,90
71,Brayden Maynard,Magpies,1,90
71,Christian Petracca,Demons,1,90
71,Jordan Ridley,Bombers,1,90
76,Harry Morrison,Hawks,1,89
76,James Rowbottom,Swans,1,89
78,Jamie Cripps,Eagles,1,88
78,Nathan Fyfe,Dockers,1,88
78,Scott Lycett,Power,1,88
78,Ben McEvoy,Hawks,1,88
78,Jaeger O'Meara,Hawks,1,88
83,Tom Cole,Eagles,1,87
83,Patrick Cripps,Blues,1,87
83,Taylor Duryea,Bulldogs,1,87
83,Jake Lever,Demons,1,87
83,Tom Phillips,Hawks,1,87
83,Dion Prestia,Tigers,1,87
89,James Harmes,Demons,1,86
89,Kane Lambert,Tigers,1,86
89,Dylan Moore,Hawks,1,86
89,John Noble,Magpies,1,86
89,Lachlan Weller,Suns,1,86
94,Josh Bruce,Bulldogs,1,85
94,Stephen Coniglio,Giants,1,85
94,Brodie Grundy,Magpies,1,85
94,Tom Lynch,Crows,1,85
94,Darcy Moore,Magpies,1,85
94,Jack Riewoldt,Tigers,1,85
94,Caleb Serong,Dockers,1,85
94,Rory Sloane,Crows,1,85
94,Callan Ward,Giants,1,85
103,Shane Edwards,Tigers,1,84
103,Brandon Ellis,Suns,1,84
103,Jacob Hopper,Giants,1,84
103,James Rowe,Crows,1,84
107,Billy Frampton,Crows,1,83
107,Dyson Heppell,Bombers,1,83
107,George Hewett,Swans,1,83
107,Luke Ryan,Dockers,1,83
107,Jarrod Witts,Suns,1,83
112,Luke Davies-Uniacke,Kangaroos,1,82
